id_transaksi,tanggal,id_cabang,nama_cabang,nama_obat,kategori,jumlah,harga_satuan,total_bayar
TX-KTA-20260501-001,2026-05-01,AP-BALI-02,Kuta,Paracetamol 500mg,Bebas,1," Rp 5,000.00 "," Rp 5,000.00 "
TX-KTA-20260501-002,2026-05-01,AP-BALI-02,Kuta,Tolak Angin Cair,Herbal,1," Rp 4,000.00 "," Rp 4,000.00 "
TX-KTA-20260501-003,2026-05-01,AP-BALI-02,Kuta,Sangobion Cap,Vitamin,1," Rp 22,000.00 "," Rp 22,000.00 "
TX-KTA-20260502-001,2026-05-02,AP-BALI-02,Kuta,Vitamin C 1000mg,Vitamin,5," Rp 15,000.00 "," Rp 75,000.00 "
TX-KTA-20260502-002,2026-05-02,AP-BALI-02,Kuta,Ibuprofen 400mg,Bebas Terbatas,2," Rp 7,000.00 "," Rp 14,000.00 "
TX-KTA-20260502-003,2026-05-02,AP-BALI-02,Kuta,Imboost Force,Suplemen,4," Rp 45,000.00 "," Rp 180,000.00 "
TX-KTA-20260502-004,2026-05-02,AP-BALI-02,Kuta,Amoxicillin 500mg,Resep,5," Rp 2,500.00 "," Rp 12,500.00 "
TX-KTA-20260502-005,2026-05-02,AP-BALI-02,Kuta,Promag Tab,Bebas,3," Rp 9,000.00 "," Rp 27,000.00 "
TX-KTA-20260503-001,2026-05-03,AP-BALI-02,Kuta,Ibuprofen 400mg,Bebas Terbatas,3," Rp 7,000.00 "," Rp 21,000.00 "
TX-KTA-20260503-002,2026-05-03,AP-BALI-02,Kuta,Tolak Angin Cair,Herbal,1," Rp 4,000.00 "," Rp 4,000.00 "
TX-KTA-20260503-003,2026-05-03,AP-BALI-02,Kuta,Mefenamic Acid 500mg,Resep,3," Rp 4,500.00 "," Rp 13,500.00 "
TX-KTA-20260504-001,2026-05-04,AP-BALI-02,Kuta,Paracetamol 500mg,Bebas,5," Rp 5,000.00 "," Rp 25,000.00 "
TX-KTA-20260504-002,2026-05-04,AP-BALI-02,Kuta,Imboost Force,Suplemen,3," Rp 45,000.00 "," Rp 135,000.00 "
TX-KTA-20260504-003,2026-05-04,AP-BALI-02,Kuta,Promag Tab,Bebas,4," Rp 9,000.00 "," Rp 36,000.00 "
TX-KTA-20260505-001,2026-05-05,AP-BALI-02,Kuta,Promag Tab,Bebas,5," Rp 9,000.00 "," Rp 45,000.00 "
TX-KTA-20260505-002,2026-05-05,AP-BALI-02,Kuta,Ibuprofen 400mg,Bebas Terbatas,4," Rp 7,000.00 "," Rp 28,000.00 "
TX-KTA-20260505-003,2026-05-05,AP-BALI-02,Kuta,Sangobion Cap,Vitamin,1," Rp 22,000.00 "," Rp 22,000.00 "
TX-KTA-20260505-004,2026-05-05,AP-BALI-02,Kuta,Promag Tab,Bebas,2," Rp 9,000.00 "," Rp 18,000.00 "
TX-KTA-20260506-001,2026-05-06,AP-BALI-02,Kuta,Vitamin C 1000mg,Vitamin,2," Rp 15,000.00 "," Rp 30,000.00 "
TX-KTA-20260506-002,2026-05-06,AP-BALI-02,Kuta,Tolak Angin Cair,Herbal,5," Rp 4,000.00 "," Rp 20,000.00 "
TX-KTA-20260506-003,2026-05-06,AP-BALI-02,Kuta,Mefenamic Acid 500mg,Resep,1," Rp 4,500.00 "," Rp 4,500.00 "
