id_transaksi,tanggal,id_cabang,nama_cabang,nama_obat,kategori,jumlah,harga_satuan,total_bayar
TX-SNR-20260501-001,2026-05-01,AP-BALI-04,Sanur,Promag Tab,Bebas,4,"Rp. 9000,00","Rp. 36000,00"
TX-SNR-20260501-002,2026-05-01,AP-BALI-04,Sanur,Ibuprofen 400mg,Bebas Terbatas,5,"Rp. 7000,00","Rp. 35000,00"
TX-SNR-20260501-003,2026-05-01,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,5,"Rp. 2500,00","Rp. 12500,00"
TX-SNR-20260501-004,2026-05-01,AP-BALI-04,Sanur,Promag Tab,Bebas,3,"Rp. 9000,00","Rp. 27000,00"
TX-SNR-20260501-005,2026-05-01,AP-BALI-04,Sanur,Imboost Force,Suplemen,2,"Rp. 45000,00","Rp. 90000,00"
TX-SNR-20260501-006,2026-05-01,AP-BALI-04,Sanur,Promag Tab,Bebas,5,"Rp. 9000,00","Rp. 45000,00"
TX-SNR-20260502-001,2026-05-02,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,4,"Rp. 22000,00","Rp. 88000,00"
TX-SNR-20260502-002,2026-05-02,AP-BALI-04,Sanur,Cetirizine 10mg,Resep,5,"Rp. 3000,00","Rp. 15000,00"
TX-SNR-20260502-003,2026-05-02,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,1,"Rp. 5000,00","Rp. 5000,00"
TX-SNR-20260503-001,2026-05-03,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,4,"Rp. 4500,00","Rp. 18000,00"
TX-SNR-20260503-002,2026-05-03,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,3,"Rp. 2500,00","Rp. 7500,00"
TX-SNR-20260503-003,2026-05-03,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,2,"Rp. 4000,00","Rp. 8000,00"
TX-SNR-20260503-004,2026-05-03,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,5,"Rp. 4500,00","Rp. 22500,00"
TX-SNR-20260503-005,2026-05-03,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,1,"Rp. 22000,00","Rp. 22000,00"
TX-SNR-20260504-001,2026-05-04,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,2,"Rp. 4500,00","Rp. 9000,00"
TX-SNR-20260504-002,2026-05-04,AP-BALI-04,Sanur,Vitamin C 1000mg,Vitamin,2,"Rp. 15000,00","Rp. 30000,00"
TX-SNR-20260505-001,2026-05-05,AP-BALI-04,Sanur,Vitamin C 1000mg,Vitamin,2,"Rp. 15000,00","Rp. 30000,00"
TX-SNR-20260505-002,2026-05-05,AP-BALI-04,Sanur,Imboost Force,Suplemen,2,"Rp. 45000,00","Rp. 90000,00"
TX-SNR-20260505-003,2026-05-05,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,2,"Rp. 4500,00","Rp. 9000,00"
TX-SNR-20260505-004,2026-05-05,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,3,"Rp. 5000,00","Rp. 15000,00"
TX-SNR-20260505-005,2026-05-05,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,4,"Rp. 5000,00","Rp. 20000,00"
TX-SNR-20260506-001,2026-05-06,AP-BALI-04,Sanur,Cetirizine 10mg,Resep,4,"Rp. 3000,00","Rp. 12000,00"
TX-SNR-20260506-002,2026-05-06,AP-BALI-04,Sanur,Promag Tab,Bebas,3,"Rp. 9000,00","Rp. 27000,00"
TX-SNR-20260506-003,2026-05-06,AP-BALI-04,Sanur,Vitamin C 1000mg,Vitamin,4,"Rp. 15000,00","Rp. 60000,00"
TX-SNR-20260507-001,2026-05-07,AP-BALI-04,Sanur,Vitamin C 1000mg,Vitamin,1,"Rp. 15000,00","Rp. 15000,00"
TX-SNR-20260507-002,2026-05-07,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,3,"Rp. 22000,00","Rp. 66000,00"
TX-SNR-20260508-001,2026-05-08,AP-BALI-04,Sanur,Vitamin C 1000mg,Vitamin,1,"Rp. 15000,00","Rp. 15000,00"
TX-SNR-20260508-002,2026-05-08,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,3,"Rp. 5000,00","Rp. 15000,00"
TX-SNR-20260508-003,2026-05-08,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,1,"Rp. 22000,00","Rp. 22000,00"
TX-SNR-20260508-004,2026-05-08,AP-BALI-04,Sanur,Imboost Force,Suplemen,5,"Rp. 45000,00","Rp. 225000,00"
TX-SNR-20260508-005,2026-05-08,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,4,"Rp. 22000,00","Rp. 88000,00"
TX-SNR-20260508-006,2026-05-08,AP-BALI-04,Sanur,Cetirizine 10mg,Resep,5,"Rp. 3000,00","Rp. 15000,00"
TX-SNR-20260509-001,2026-05-09,AP-BALI-04,Sanur,Imboost Force,Suplemen,4,"Rp. 45000,00","Rp. 180000,00"
TX-SNR-20260509-002,2026-05-09,AP-BALI-04,Sanur,Promag Tab,Bebas,3,"Rp. 9000,00","Rp. 27000,00"
TX-SNR-20260509-003,2026-05-09,AP-BALI-04,Sanur,Cetirizine 10mg,Resep,3,"Rp. 3000,00","Rp. 9000,00"
TX-SNR-20260510-001,2026-05-10,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,3,"Rp. 4000,00","Rp. 12000,00"
TX-SNR-20260510-002,2026-05-10,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,4,"Rp. 4000,00","Rp. 16000,00"
TX-SNR-20260510-003,2026-05-10,AP-BALI-04,Sanur,Imboost Force,Suplemen,1,"Rp. 45000,00","Rp. 45000,00"
TX-SNR-20260510-004,2026-05-10,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,5,"Rp. 4000,00","Rp. 20000,00"
TX-SNR-20260511-001,2026-05-11,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,3,"Rp. 5000,00","Rp. 15000,00"
TX-SNR-20260511-002,2026-05-11,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,1,"Rp. 4500,00","Rp. 4500,00"
TX-SNR-20260511-003,2026-05-11,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,2,"Rp. 2500,00","Rp. 5000,00"
TX-SNR-20260511-004,2026-05-11,AP-BALI-04,Sanur,Imboost Force,Suplemen,2,"Rp. 45000,00","Rp. 90000,00"
TX-SNR-20260512-001,2026-05-12,AP-BALI-04,Sanur,Ibuprofen 400mg,Bebas Terbatas,3,"Rp. 7000,00","Rp. 21000,00"
TX-SNR-20260512-002,2026-05-12,AP-BALI-04,Sanur,Promag Tab,Bebas,1,"Rp. 9000,00","Rp. 9000,00"
TX-SNR-20260512-003,2026-05-12,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,4,"Rp. 22000,00","Rp. 88000,00"
TX-SNR-20260512-004,2026-05-12,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,4,"Rp. 5000,00","Rp. 20000,00"
TX-SNR-20260512-005,2026-05-12,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,4,"Rp. 22000,00","Rp. 88000,00"
