id_transaksi,tanggal,id_cabang,nama_cabang,nama_obat,kategori,jumlah,harga_satuan,total_bayar
TX-SGR-20260501-001,2026-05-01,AP-BALI-05,Singaraja,Vitamin C 1000mg,Vitamin,1,15000,15000
TX-SGR-20260501-002,2026-05-01,AP-BALI-05,Singaraja,Tolak Angin Cair,Herbal,3,4000,12000
TX-SGR-20260501-003,2026-05-01,AP-BALI-05,Singaraja,Paracetamol 500mg,Bebas,3,5000,15000
TX-SGR-20260502-001,2026-05-02,AP-BALI-05,Singaraja,Ibuprofen 400mg,Bebas Terbatas,1,7000,7000
TX-SGR-20260502-002,2026-05-02,AP-BALI-05,Singaraja,Sangobion Cap,Vitamin,3,22000,66000
TX-SGR-20260502-003,2026-05-02,AP-BALI-05,Singaraja,Cetirizine 10mg,Resep,2,3000,6000
TX-SGR-20260503-001,2026-05-03,AP-BALI-05,Singaraja,Sangobion Cap,Vitamin,4,22000,88000
TX-SGR-20260503-002,2026-05-03,AP-BALI-05,Singaraja,Vitamin C 1000mg,Vitamin,1,15000,15000
TX-SGR-20260504-001,2026-05-04,AP-BALI-05,Singaraja,Amoxicillin 500mg,Resep,1,2500,2500
TX-SGR-20260504-002,2026-05-04,AP-BALI-05,Singaraja,Paracetamol 500mg,Bebas,4,5000,20000
TX-SGR-20260505-001,2026-05-05,AP-BALI-05,Singaraja,Mefenamic Acid 500mg,Resep,3,4500,13500
TX-SGR-20260505-002,2026-05-05,AP-BALI-05,Singaraja,Promag Tab,Bebas,3,9000,27000
TX-SGR-20260505-003,2026-05-05,AP-BALI-05,Singaraja,Ibuprofen 400mg,Bebas Terbatas,4,7000,28000
TX-SGR-20260506-001,2026-05-06,AP-BALI-05,Singaraja,Promag Tab,Bebas,5,9000,45000
TX-SGR-20260506-002,2026-05-06,AP-BALI-05,Singaraja,Vitamin C 1000mg,Vitamin,2,15000,30000
TX-SGR-20260506-003,2026-05-06,AP-BALI-05,Singaraja,Cetirizine 10mg,Resep,4,3000,12000
TX-SGR-20260506-004,2026-05-06,AP-BALI-05,Singaraja,Promag Tab,Bebas,5,9000,45000
TX-SGR-20260506-005,2026-05-06,AP-BALI-05,Singaraja,Tolak Angin Cair,Herbal,4,4000,16000
TX-SGR-20260507-001,2026-05-07,AP-BALI-05,Singaraja,Mefenamic Acid 500mg,Resep,3,4500,13500
TX-SGR-20260507-002,2026-05-07,AP-BALI-05,Singaraja,Ibuprofen 400mg,Bebas Terbatas,5,7000,35000
TX-SGR-20260508-001,2026-05-08,AP-BALI-05,Singaraja,Paracetamol 500mg,Bebas,5,5000,25000
